,mrf_trenton_beltzvilleCombined,mrf_trenton_blueMarsh,mrf_trenton_nockamixon
1984-04-23,0.0,0.0,0.0
1984-04-24,0.0,0.0,0.0
1984-04-25,0.0,0.0,0.0
1984-04-26,0.0,0.0,0.0
1984-04-27,0.0,0.0,0.0
1984-04-28,0.0,0.0,0.0
1984-04-29,0.0,0.0,0.0
1984-04-30,0.0,0.0,0.0
1984-05-01,0.0,0.0,0.0
1984-05-02,0.0,0.0,0.0
1984-05-03,0.0,0.0,0.0
1984-05-04,0.0,0.0,0.0
1984-05-05,0.0,0.0,0.0
1984-05-06,0.0,0.0,0.0
1984-05-07,0.0,0.0,0.0
1984-05-08,0.0,0.0,0.0
1984-05-09,0.0,0.0,0.0
1984-05-10,0.0,0.0,0.0
1984-05-11,0.0,0.0,0.0
1984-05-12,0.0,0.0,0.0
1984-05-13,0.0,0.0,0.0
1984-05-14,0.0,0.0,0.0
1984-05-15,0.0,0.0,0.0
1984-05-16,0.0,0.0,0.0
1984-05-17,0.0,0.0,0.0
1984-05-18,0.0,0.0,0.0
1984-05-19,0.0,0.0,0.0
1984-05-20,0.0,0.0,0.0
1984-05-21,0.0,0.0,0.0
1984-05-22,0.0,0.0,0.0
1984-05-23,0.0,0.0,0.0
1984-05-24,0.0,0.0,0.0
1984-05-25,0.0,0.0,0.0
1984-05-26,0.0,0.0,0.0
1984-05-27,0.0,0.0,0.0
1984-05-28,0.0,0.0,0.0
1984-05-29,0.0,0.0,0.0
1984-05-30,0.0,0.0,0.0
1984-05-31,0.0,0.0,0.0
1984-06-01,0.0,0.0,0.0
1984-06-02,0.0,0.0,0.0
1984-06-03,0.0,0.0,0.0
1984-06-04,0.0,0.0,0.0
1984-06-05,0.0,0.0,0.0
1984-06-06,0.0,0.0,0.0
1984-06-07,0.0,0.0,0.0
1984-06-08,0.0,0.0,0.0
1984-06-09,0.0,0.0,0.0
1984-06-10,0.0,0.0,0.0
1984-06-11,0.0,0.0,0.0
1984-06-12,0.0,0.0,0.0
1984-06-13,0.0,0.0,0.0
1984-06-14,0.0,0.0,0.0
1984-06-15,0.0,0.0,0.0
1984-06-16,0.0,0.0,0.0
1984-06-17,0.0,0.0,0.0
1984-06-18,0.0,0.0,0.0
1984-06-19,0.0,0.0,0.0
1984-06-20,0.0,0.0,0.0
1984-06-21,0.0,0.0,0.0
1984-06-22,0.0,0.0,0.0
1984-06-23,0.0,0.0,0.0
1984-06-24,0.0,0.0,0.0
1984-06-25,0.0,0.0,0.0
1984-06-26,0.0,0.0,0.0
1984-06-27,0.0,0.0,0.0
1984-06-28,0.0,0.0,0.0
1984-06-29,0.0,0.0,0.0
1984-06-30,0.0,0.0,0.0
1984-07-01,0.0,0.0,0.0
1984-07-02,0.0,0.0,0.0
1984-07-03,0.0,0.0,0.0
1984-07-04,0.0,0.0,0.0
1984-07-05,0.0,0.0,0.0
1984-07-06,0.0,0.0,0.0
1984-07-07,0.0,0.0,0.0
1984-07-08,0.0,0.0,0.0
1984-07-09,0.0,0.0,0.0
1984-07-10,0.0,0.0,0.0
1984-07-11,0.0,0.0,0.0
1984-07-12,0.0,0.0,0.0
1984-07-13,0.0,0.0,0.0
1984-07-14,0.0,0.0,0.0
1984-07-15,0.0,0.0,0.0
1984-07-16,0.0,0.0,0.0
1984-07-17,0.0,0.0,0.0
1984-07-18,0.0,0.0,0.0
1984-07-19,0.0,0.0,0.0
1984-07-20,0.0,0.0,0.0
1984-07-21,0.0,0.0,0.0
1984-07-22,0.0,0.0,0.0
1984-07-23,0.0,0.0,0.0
1984-07-24,0.0,0.0,0.0
1984-07-25,0.0,0.0,0.0
1984-07-26,0.0,0.0,0.0
1984-07-27,0.0,0.0,0.0
1984-07-28,0.0,0.0,0.0
1984-07-29,0.0,0.0,0.0
1984-07-30,0.0,0.0,0.0
1984-07-31,0.0,0.0,0.0
1984-08-01,0.0,0.0,0.0
1984-08-02,0.0,0.0,0.0
1984-08-03,0.0,0.0,0.0
1984-08-04,0.0,0.0,0.0
1984-08-05,0.0,0.0,0.0
1984-08-06,0.0,0.0,0.0
1984-08-07,0.0,0.0,0.0
1984-08-08,0.0,0.0,0.0
1984-08-09,0.0,0.0,0.0
1984-08-10,0.0,0.0,0.0
1984-08-11,0.0,0.0,0.0
1984-08-12,0.0,0.0,0.0
1984-08-13,0.0,0.0,0.0
1984-08-14,0.0,0.0,0.0
1984-08-15,0.0,0.0,0.0
1984-08-16,0.0,0.0,0.0
1984-08-17,0.0,0.0,0.0
1984-08-18,0.0,0.0,0.0
1984-08-19,0.0,0.0,0.0
1984-08-20,0.0,0.0,0.0
1984-08-21,0.0,0.0,0.0
1984-08-22,0.0,0.0,0.0
1984-08-23,0.0,0.0,0.0
1984-08-24,0.0,0.0,0.0
1984-08-25,0.0,0.0,0.0
1984-08-26,0.0,0.0,0.0
1984-08-27,0.0,0.0,0.0
1984-08-28,0.0,0.0,0.0
1984-08-29,0.0,0.0,0.0
1984-08-30,0.0,0.0,0.0
1984-08-31,0.0,0.0,0.0
1984-09-01,0.0,0.0,0.0
1984-09-02,0.0,0.0,0.0
1984-09-03,0.0,0.0,0.0
1984-09-04,0.0,0.0,0.0
1984-09-05,0.0,0.0,0.0
1984-09-06,0.0,0.0,0.0
1984-09-07,0.0,0.0,0.0
1984-09-08,0.0,0.0,0.0
1984-09-09,0.0,0.0,0.0
1984-09-10,0.0,0.0,0.0
1984-09-11,0.0,0.0,0.0
1984-09-12,0.0,0.0,0.0
1984-09-13,0.0,0.0,0.0
1984-09-14,0.0,0.0,0.0
1984-09-15,0.0,0.0,0.0
1984-09-16,0.0,0.0,0.0
1984-09-17,0.0,0.0,0.0
1984-09-18,0.0,0.0,0.0
1984-09-19,6.460423105339032,0.0,0.0
1984-09-20,0.0,0.0,0.0
1984-09-21,0.0,0.0,0.0
1984-09-22,28.799430620881665,0.0,0.0
1984-09-23,71.52938318089757,0.0,0.0
1984-09-24,30.020000415286873,0.0,0.0
1984-09-25,26.43233871636984,0.0,0.0
1984-09-26,48.12027763967194,0.0,0.0
1984-09-27,0.0,0.0,0.0
1984-09-28,0.0,0.0,0.0
1984-09-29,0.0,0.0,0.0
1984-09-30,0.0,0.0,0.0
1984-10-01,0.0,0.0,0.0
1984-10-02,0.0,0.0,0.0
1984-10-03,0.0,0.0,0.0
1984-10-04,0.0,0.0,0.0
1984-10-05,0.0,0.0,0.0
1984-10-06,0.0,0.0,0.0
1984-10-07,0.0,0.0,0.0
1984-10-08,57.77312733639734,0.0,0.0
1984-10-09,0.0,0.0,0.0
1984-10-10,12.591257379494067,0.0,0.0
1984-10-11,24.86030642987555,0.0,0.0
1984-10-12,43.65664182940991,0.0,0.0
1984-10-13,46.44564585110754,0.0,0.0
1984-10-14,49.7277736937841,0.0,0.0
1984-10-15,56.64582410907961,0.0,0.0
1984-10-16,68.67863378358042,0.0,0.0
1984-10-17,40.600361387072,0.0,0.0
1984-10-18,29.57312329523866,0.0,0.0
1984-10-19,6.639482682612268,0.0,0.0
1984-10-20,0.0,0.0,0.0
1984-10-21,0.0,0.0,0.0
1984-10-22,0.0,0.0,0.0
1984-10-23,0.0,0.0,0.0
1984-10-24,0.0,0.0,0.0
1984-10-25,0.0,0.0,0.0
1984-10-26,0.0,0.0,0.0
1984-10-27,0.0,0.0,0.0
1984-10-28,0.0,0.0,0.0
1984-10-29,0.0,0.0,0.0
1984-10-30,0.0,0.0,0.0
1984-10-31,0.0,0.0,0.0
1984-11-01,0.0,0.0,0.0
1984-11-02,0.0,0.0,0.0
1984-11-03,0.0,0.0,0.0
1984-11-04,0.0,0.0,0.0
1984-11-05,0.0,0.0,0.0
1984-11-06,0.0,0.0,0.0
1984-11-07,0.0,0.0,0.0
1984-11-08,0.0,0.0,0.0
1984-11-09,0.0,0.0,0.0
1984-11-10,0.0,0.0,0.0
1984-11-11,0.0,0.0,0.0
1984-11-12,0.0,0.0,0.0
1984-11-13,0.0,0.0,0.0
1984-11-14,0.0,0.0,0.0
1984-11-15,0.0,0.0,0.0
1984-11-16,0.0,0.0,0.0
1984-11-17,0.0,0.0,0.0
1984-11-18,0.0,0.0,0.0
1984-11-19,0.0,0.0,0.0
1984-11-20,0.0,0.0,0.0
1984-11-21,0.0,0.0,0.0
1984-11-22,0.0,0.0,0.0
1984-11-23,0.0,0.0,0.0
1984-11-24,0.0,0.0,0.0
1984-11-25,0.0,0.0,0.0
1984-11-26,0.0,0.0,0.0
1984-11-27,0.0,0.0,0.0
1984-11-28,0.0,0.0,0.0
1984-11-29,15.966277403616104,0.0,0.0
1984-11-30,0.0,0.0,0.0
1984-12-01,0.0,0.0,0.0
1984-12-02,116.5344557452174,0.0,0.0
1984-12-03,0.0,0.0,0.0
1984-12-04,0.0,0.0,0.0
1984-12-05,0.0,0.0,0.0
1984-12-06,0.0,0.0,0.0
1984-12-07,0.0,0.0,0.0
1984-12-08,0.0,0.0,0.0
1984-12-09,0.0,0.0,0.0
1984-12-10,0.0,0.0,0.0
1984-12-11,0.0,0.0,0.0
1984-12-12,0.0,0.0,0.0
1984-12-13,1.4112126446624984,0.0,0.0
1984-12-14,0.0,0.0,0.0
1984-12-15,0.0,0.0,0.0
1984-12-16,0.0,0.0,0.0
1984-12-17,108.61883855995525,0.0,0.0
1984-12-18,25.05791033537202,0.0,0.0
1984-12-19,0.0,0.0,0.0
1984-12-20,0.0,0.0,0.0
1984-12-21,0.0,0.0,0.0
1984-12-22,0.0,0.0,0.0
1984-12-23,0.0,0.0,0.0
1984-12-24,0.0,0.0,0.0
1984-12-25,0.0,0.0,0.0
1984-12-26,0.0,0.0,0.0
1984-12-27,0.0,0.0,0.0
1984-12-28,0.0,0.0,0.0
1984-12-29,0.0,0.0,0.0
1984-12-30,0.0,0.0,0.0
1984-12-31,0.0,0.0,0.0
1985-01-01,0.0,0.0,0.0
1985-01-02,0.0,0.0,0.0
1985-01-03,0.0,0.0,0.0
1985-01-04,0.0,0.0,0.0
1985-01-05,0.0,0.0,0.0
1985-01-06,0.0,0.0,0.0
1985-01-07,0.0,0.0,0.0
1985-01-08,0.0,0.0,0.0
1985-01-09,0.0,0.0,0.0
1985-01-10,0.0,0.0,0.0
1985-01-11,0.0,0.0,0.0
1985-01-12,0.0,0.0,0.0
1985-01-13,0.0,0.0,0.0
1985-01-14,0.0,0.0,0.0
1985-01-15,0.0,0.0,0.0
1985-01-16,0.0,0.0,0.0
1985-01-17,0.0,0.0,0.0
1985-01-18,0.0,0.0,0.0
1985-01-19,0.0,0.0,0.0
1985-01-20,0.0,0.0,0.0
1985-01-21,0.0,0.0,0.0
1985-01-22,0.0,0.0,0.0
1985-01-23,0.0,0.0,0.0
1985-01-24,0.0,0.0,0.0
1985-01-25,0.0,0.0,0.0
1985-01-26,0.0,0.0,0.0
1985-01-27,0.0,0.0,0.0
1985-01-28,0.0,0.0,0.0
1985-01-29,0.0,0.0,0.0
1985-01-30,0.0,0.0,0.0
1985-01-31,0.0,0.0,0.0
1985-02-01,0.0,0.0,0.0
1985-02-02,0.0,0.0,0.0
1985-02-03,0.0,0.0,0.0
1985-02-04,0.0,0.0,0.0
1985-02-05,0.0,0.0,0.0
1985-02-06,0.0,0.0,0.0
1985-02-07,0.0,0.0,0.0
1985-02-08,0.0,0.0,0.0
1985-02-09,0.0,0.0,0.0
1985-02-10,0.0,0.0,0.0
1985-02-11,0.0,0.0,0.0
1985-02-12,0.0,0.0,0.0
1985-02-13,0.0,0.0,0.0
1985-02-14,0.0,0.0,0.0
1985-02-15,0.0,0.0,0.0
1985-02-16,0.0,0.0,0.0
1985-02-17,0.0,0.0,0.0
1985-02-18,0.0,0.0,0.0
1985-02-19,0.0,0.0,0.0
1985-02-20,0.0,0.0,0.0
1985-02-21,0.0,0.0,0.0
1985-02-22,0.0,0.0,0.0
1985-02-23,0.0,0.0,0.0
1985-02-24,0.0,0.0,0.0
1985-02-25,0.0,0.0,0.0
1985-02-26,0.0,0.0,0.0
1985-02-27,0.0,0.0,0.0
1985-02-28,0.0,0.0,0.0
1985-03-01,0.0,0.0,0.0
1985-03-02,0.0,0.0,0.0
1985-03-03,0.0,0.0,0.0
1985-03-04,0.0,0.0,0.0
1985-03-05,0.0,0.0,0.0
1985-03-06,0.0,0.0,0.0
1985-03-07,0.0,0.0,0.0
1985-03-08,0.0,0.0,0.0
1985-03-09,0.0,0.0,0.0
1985-03-10,0.0,0.0,0.0
1985-03-11,0.0,0.0,0.0
1985-03-12,0.0,0.0,0.0
1985-03-13,0.0,0.0,0.0
1985-03-14,0.0,0.0,0.0
1985-03-15,0.0,0.0,0.0
1985-03-16,0.0,0.0,0.0
1985-03-17,0.0,0.0,0.0
1985-03-18,0.0,0.0,0.0
1985-03-19,0.0,0.0,0.0
1985-03-20,0.0,0.0,0.0
1985-03-21,0.0,0.0,0.0
1985-03-22,0.0,0.0,0.0
1985-03-23,0.0,0.0,0.0
1985-03-24,0.0,0.0,0.0
1985-03-25,0.0,0.0,0.0
1985-03-26,0.0,0.0,0.0
1985-03-27,0.0,0.0,0.0
1985-03-28,0.0,0.0,0.0
1985-03-29,0.0,0.0,0.0
1985-03-30,0.0,0.0,0.0
1985-03-31,0.0,0.0,0.0
1985-04-01,0.0,0.0,0.0
1985-04-02,0.0,0.0,0.0
1985-04-03,0.0,0.0,0.0
1985-04-04,0.0,0.0,0.0
1985-04-05,0.0,0.0,0.0
1985-04-06,0.0,0.0,0.0
1985-04-07,0.0,0.0,0.0
1985-04-08,0.0,0.0,0.0
1985-04-09,0.0,0.0,0.0
1985-04-10,0.0,0.0,0.0
1985-04-11,0.0,0.0,0.0
1985-04-12,0.0,0.0,0.0
1985-04-13,0.0,0.0,0.0
1985-04-14,0.0,0.0,0.0
1985-04-15,0.0,0.0,0.0
1985-04-16,0.0,0.0,0.0
1985-04-17,0.0,0.0,0.0
1985-04-18,0.0,0.0,0.0
1985-04-19,0.0,0.0,0.0
1985-04-20,0.0,0.0,0.0
1985-04-21,0.0,0.0,0.0
1985-04-22,0.0,0.0,0.0
1985-04-23,0.0,0.0,0.0
1985-04-24,0.0,0.0,0.0
1985-04-25,0.0,0.0,0.0
1985-04-26,0.0,0.0,0.0
1985-04-27,0.0,0.0,0.0
1985-04-28,20.721233269661383,0.0,0.0
1985-04-29,0.0,0.0,0.0
1985-04-30,0.0,0.0,0.0
1985-05-01,28.197054485341624,0.0,0.0
1985-05-02,0.0,0.0,0.0
1985-05-03,0.0,0.0,0.0
1985-05-04,0.0,0.0,0.0
1985-05-05,0.0,0.0,0.0
1985-05-06,0.0,0.0,0.0
1985-05-07,0.0,0.0,0.0
1985-05-08,0.0,0.0,0.0
1985-05-09,0.0,0.0,0.0
1985-05-10,0.0,0.0,0.0
1985-05-11,0.0,0.0,0.0
1985-05-12,0.0,0.0,0.0
1985-05-13,0.0,0.0,0.0
1985-05-14,0.0,0.0,0.0
1985-05-15,0.0,0.0,0.0
1985-05-16,0.0,0.0,0.0
1985-05-17,0.0,0.0,0.0
1985-05-18,0.0,0.0,0.0
1985-05-19,0.0,0.0,0.0
1985-05-20,0.0,0.0,0.0
1985-05-21,0.0,0.0,0.0
1985-05-22,0.0,0.0,0.0
1985-05-23,0.0,0.0,0.0
1985-05-24,0.0,0.0,0.0
1985-05-25,0.0,0.0,0.0
1985-05-26,0.0,0.0,0.0
1985-05-27,0.0,0.0,0.0
1985-05-28,0.0,0.0,0.0
1985-05-29,0.0,0.0,0.0
1985-05-30,0.0,0.0,0.0
1985-05-31,0.0,0.0,0.0
1985-06-01,0.0,0.0,0.0
1985-06-02,0.0,0.0,0.0
1985-06-03,0.0,0.0,0.0
1985-06-04,0.0,0.0,0.0
1985-06-05,0.0,0.0,0.0
1985-06-06,0.0,0.0,0.0
1985-06-07,0.0,0.0,0.0
1985-06-08,0.0,0.0,0.0
1985-06-09,0.0,0.0,0.0
1985-06-10,0.0,0.0,0.0
1985-06-11,0.0,0.0,0.0
1985-06-12,0.0,0.0,0.0
1985-06-13,0.0,0.0,0.0
1985-06-14,0.0,0.0,0.0
1985-06-15,0.0,0.0,0.0
1985-06-16,0.0,0.0,0.0
1985-06-17,0.0,0.0,0.0
1985-06-18,0.0,0.0,0.0
1985-06-19,0.0,0.0,0.0
1985-06-20,0.0,0.0,0.0
1985-06-21,0.0,0.0,0.0
1985-06-22,0.0,0.0,0.0
1985-06-23,0.0,0.0,0.0
1985-06-24,0.0,0.0,0.0
1985-06-25,0.0,0.0,0.0
1985-06-26,0.0,0.0,0.0
1985-06-27,17.500002410834398,0.0,0.0
1985-06-28,14.02389512929409,0.0,0.0
1985-06-29,0.0,0.0,0.0
1985-06-30,0.0,0.0,0.0
1985-07-01,0.0,0.0,0.0
1985-07-02,165.6521406730909,0.0,0.0
1985-07-03,154.2807400594931,0.0,0.0
1985-07-04,0.0,0.0,0.0
1985-07-05,0.0,0.0,0.0
1985-07-06,0.0,0.0,0.0
1985-07-07,0.0,0.0,0.0
1985-07-08,0.0,0.0,0.0
1985-07-09,94.94605386089128,0.0,0.0
1985-07-10,0.0,0.0,0.0
1985-07-11,0.0,0.0,0.0
1985-07-12,0.0,0.0,0.0
1985-07-13,0.0,0.0,0.0
1985-07-14,0.0,0.0,0.0
1985-07-15,0.0,0.0,0.0
1985-07-16,0.0,0.0,0.0
1985-07-17,0.0,0.0,0.0
1985-07-18,0.0,0.0,0.0
1985-07-19,0.0,0.0,0.0
1985-07-20,0.0,0.0,0.0
1985-07-21,69.26211931301474,0.0,0.0
1985-07-22,0.0,0.0,0.0
1985-07-23,0.0,0.0,0.0
1985-07-24,269.17646666719327,0.0,0.0
1985-07-25,300.0,0.0,0.0
1985-07-26,0.0,0.0,0.0
1985-07-27,0.0,0.0,0.0
1985-07-28,0.0,0.0,0.0
1985-07-29,0.0,0.0,0.0
1985-07-30,232.79035254662801,0.0,0.0
1985-07-31,0.0,0.0,0.0
1985-08-01,0.0,0.0,0.0
1985-08-02,0.0,0.0,0.0
1985-08-03,65.31638100000899,0.0,0.0
1985-08-04,197.92192630454912,0.0,0.0
1985-08-05,38.58048160332396,0.0,0.0
1985-08-06,0.0,0.0,0.0
1985-08-07,0.0,0.0,0.0
1985-08-08,0.0,0.0,0.0
1985-08-09,0.0,0.0,0.0
1985-08-10,0.0,0.0,0.0
1985-08-11,131.2514715470096,0.0,0.0
1985-08-12,0.0,0.0,0.0
1985-08-13,0.0,0.0,0.0
1985-08-14,0.0,0.0,0.0
1985-08-15,0.0,0.0,0.0
1985-08-16,0.0,0.0,0.0
1985-08-17,0.0,0.0,0.0
1985-08-18,0.0,0.0,0.0
1985-08-19,0.0,0.0,0.0
1985-08-20,129.54929489132903,0.0,0.0
1985-08-21,0.0,0.0,0.0
1985-08-22,25.379512894216248,0.0,0.0
1985-08-23,181.20611096827014,0.0,0.0
1985-08-24,235.71248363974686,0.0,0.0
1985-08-25,0.0,0.0,0.0
1985-08-26,0.0,0.0,0.0
1985-08-27,0.0,0.0,0.0
1985-08-28,148.80919984790262,0.0,0.0
1985-08-29,205.90351215251945,0.0,0.0
1985-08-30,56.66268112636564,0.0,0.0
1985-08-31,0.0,0.0,0.0
1985-09-01,0.0,0.0,0.0
1985-09-02,300.0,0.0,0.0
1985-09-03,235.15727499557713,0.0,0.0
1985-09-04,189.81559833322282,0.0,0.0
1985-09-05,182.90657691448607,0.0,0.0
1985-09-06,265.8791522768007,0.0,0.0
1985-09-07,251.4990928981643,0.0,0.0
1985-09-08,6.806867293538488,0.0,0.0
1985-09-09,0.0,0.0,0.0
1985-09-10,0.0,0.0,0.0
1985-09-11,0.0,0.0,0.0
1985-09-12,212.86018313233598,0.0,0.0
1985-09-13,300.0,0.0,0.0
1985-09-14,175.78368051434146,0.0,0.0
1985-09-15,188.60201612175064,0.0,0.0
1985-09-16,252.99625554851144,0.0,0.0
